Date,Open,High,Low,Close,Adj Close,Volume,Mkt-RF,SMB,HML,RF,Yest_Close,stock_return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,RSI,ADS_Index
2017-01-04,14.316666603088379,15.199999809265137,14.287332534790039,15.13266658782959,15.13266658782959,168202500,0.79,0.95,-0.16,0.002,14.465999603271484,0.04608509628379492,15.13266658782959,15.13266658782959,15.13266658782959,15.13266658782959,0.0,100.0,0.174783
2017-01-05,15.094667434692383,15.165332794189453,14.796667098999023,15.116666793823242,15.116666793823242,88675500,-0.21,-0.89,-0.79,0.002,15.13266658782959,-0.0010573016932267213,15.124666690826416,15.124666690826416,15.130205081059383,15.131481417903194,-0.001276336843810455,0.0,0.154241
2017-01-06,15.128666877746582,15.354000091552734,15.029999732971191,15.267333030700684,15.267333030700684,82918500,0.29,-0.66,-0.31,0.002,15.116666793823242,0.009966895409707946,15.172222137451172,15.172222137451172,15.151301688696506,15.141544500332637,0.009757188363868963,91.0242475897067,0.134146
2017-01-09,15.264666557312012,15.461333274841309,15.199999809265137,15.41866683959961,15.41866683959961,59692500,-0.37,-0.3,-1.03,0.002,15.267333030700684,0.009912262252654904,15.233833312988281,15.233833312988281,15.192434788835445,15.16207208101908,0.03036270781636574,95.47730918214005,0.0761687
2017-01-10,15.466667175292969,15.466667175292969,15.12600040435791,15.324666976928711,15.324666976928711,54900000,0.16,0.89,0.43,0.002,15.41866683959961,-0.006096497424114484,15.252000045776366,15.252000045776366,15.212778202388256,15.174116147382756,0.03866205500549924,71.68683148100376,0.0572079
2017-01-11,15.271332740783691,15.331999778747559,15.112000465393066,15.315333366394043,15.315333366394043,54762000,0.31,-0.23,0.68,0.002,15.324666976928711,-0.0006090579683538782,15.262555599212646,15.262555599212646,15.228555919927608,15.184576682124334,0.043979237803274174,69.82633280632238,0.0383699
2017-01-12,15.27066707611084,15.380000114440918,15.038666725158691,15.305999755859375,15.305999755859375,56853000,-0.3,-0.58,-0.87,0.002,15.315333366394043,-0.0006094291460314157,15.268761907305036,15.268761907305036,15.240470356224803,15.193570983882484,0.04689937234231856,67.92778253743717,0.0196475
2017-01-13,15.333333015441895,15.856666564941406,15.305999755859375,15.850000381469727,15.850000381469727,91395000,0.29,0.61,-0.08,0.002,15.305999755859375,0.0355416591067238,15.341416716575623,15.341416716575623,15.334244206262483,15.242195383703761,0.09204882255872171,88.15046189629044,0.0010337
2017-01-17,15.779999732971191,15.997332572937012,15.624667167663574,15.70533275604248,15.70533275604248,69262500,-0.49,-0.86,-0.64,0.002,15.850000381469727,-0.009127294759965897,15.38185183207194,15.38185183207194,15.391334752382482,15.276501855728851,0.11483289665363117,74.66716737259449,-0.0705067
2017-01-18,15.776666641235352,15.980667114257812,15.70533275604248,15.890666961669922,15.890666961669922,56535000,0.24,0.18,0.24,0.002,15.70533275604248,0.011800718170465747,15.432733345031739,15.432733345031739,15.468155092272857,15.321995567280043,0.14615952499281448,79.08154888811534,-0.0867126
2017-01-19,16.483333587646484,16.57866668701172,16.049999237060547,16.250667572021484,16.250667572021484,115984500,-0.38,-0.5,-0.05,0.002,15.890666961669922,0.022654845842526593,15.507091002030807,15.507091002030807,15.588541627618799,15.39078608614978,0.19775554146901975,84.66970907605847,-0.102194
2017-01-20,16.36400032043457,16.399999618530273,16.200666427612305,16.315332412719727,16.315332412719727,63064500,0.33,0.05,0.23,0.002,16.250667572021484,0.003979211340805138,15.574444452921549,15.574444452921549,15.700355594557404,15.459270999229036,0.24108459532836868,85.42299076363227,-0.116956
2017-01-23,16.389999389648438,16.72599983215332,16.366666793823242,16.594667434692383,16.594667434692383,93943500,-0.29,-0.04,-0.33,0.002,16.315332412719727,0.0171210132228064,15.652923143826998,15.652923143826998,15.837942031501246,15.543374438892986,0.29456759260826004,88.13512937145757,-0.157842
2017-01-24,16.666667938232422,16.98666763305664,16.643333435058594,16.974000930786133,16.974000930786133,74482500,0.83,0.71,0.81,0.002,16.594667434692383,0.02285875854919064,15.747285842895508,15.747285842895508,16.01272032369892,15.649346771625812,0.36337355207311006,90.67298363258058,-0.171498
2017-01-25,17.15399932861328,17.230667114257812,16.786666870117188,16.96466636657715,16.96466636657715,77139000,0.84,0.17,0.43,0.002,16.974000930786133,-0.0005499330562692538,15.828444544474284,15.828444544474284,16.159173561064804,15.746777852733318,0.412395708331486,90.1619090210773,-0.185318
2017-01-26,16.952667236328125,17.049333572387695,16.71666717529297,16.833999633789062,16.833999633789062,47281500,-0.1,-0.62,0.41,0.002,16.96466636657715,-0.007702287210641427,15.891291737556458,15.891291737556458,16.262992956868537,15.827312799478188,0.43568015739034927,83.10088457155112,-0.199309
2017-01-27,16.7586669921875,16.866666793823242,16.56800079345703,16.863332748413086,16.863332748413086,47494500,-0.12,-0.01,-0.68,0.002,16.833999633789062,0.001742492293105808,15.948470620548024,15.948470620548024,16.355352924798467,15.90405501791781,0.4512979068806562,83.41489258826402,-0.213474
2017-01-30,16.8353328704834,17.019332885742188,16.47333335876465,16.708667755126953,16.708667755126953,57016500,-0.68,-0.73,-0.46,0.002,16.863332748413086,-0.00917167416391564,15.990703794691298,15.990703794691298,16.40970905254131,15.963655961414785,0.44605309112652414,75.45373804536221,-0.25719
2017-01-31,16.615999221801758,17.05933380126953,16.51333236694336,16.795333862304688,16.795333862304688,61741500,0.0,0.88,-0.56,0.002,16.708667755126953,0.005186895116227409,16.033052745618317,16.033052745618317,16.46903594635106,16.025261731851074,0.4437742144999852,76.79045958553058,-0.272338
2017-02-01,16.8700008392334,16.8799991607666,16.60333251953125,16.615999221801758,16.615999221801758,59382000,0.03,-0.08,0.04,0.002,16.795333862304688,-0.01067764665907755,16.06220006942749,16.06220006942749,16.49164568103578,16.069020064440014,0.4226256165957665,68.48010457303843,-0.287802
2017-02-02,16.555999755859375,16.827999114990234,16.513999938964844,16.770000457763672,16.770000457763672,37497000,-0.02,-0.24,-0.29,0.002,16.615999221801758,0.009268250070681872,16.144066762924194,16.09590484982445,16.534469492840074,16.120944538019543,0.41352495482053087,71.34769174046892,-0.302498
2017-02-03,16.79400062561035,16.812000274658203,16.64533233642578,16.755332946777344,16.755332946777344,32800500,0.82,0.52,0.75,0.002,16.770000457763672,-0.0008746279419174256,16.2260000705719,16.125878854231402,16.5684484857535,16.167936272001604,0.4005122137518953,70.68807011645357,-0.316433
